Ticker,Name,Exchange,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL
3968,CHINA MERCHANTS BANK LTD H,XHKG,1.06,68.4,"823,795","56,347,578","56,347,578",Financials,B1DYPZ5
YUMC,YUM CHINA HOLDINGS INC,XNYS,0.91,538.1,"90,427","48,659,324","48,659,324",Consumer Discretionary,BYW4289
3988,BANK OF CHINA LTD H,XHKG,0.9,2.83,"16,864,634","47,726,914","47,726,914",Financials,B154564
600519,KWEICHOW MOUTAI LTD A,XSHG,0.8,"2,642.90","16,148","42,677,437","42,677,437",Consumer Staples,BP3R2F1
2020,ANTA SPORTS PRODUCTS LTD,XHKG,0.68,158.4,"230,330","36,484,272","36,484,272",Consumer Discretionary,B1YVKN8
1211,BYD LTD H,XHKG,0.67,214.4,"167,686","35,951,878","35,951,878",Consumer Discretionary,6536651
2331,LI NING LTD,XHKG,0.66,74.05,"471,672","34,927,312","34,927,312",Consumer Discretionary,B01JCK9
2313,SHENZHOU INTERNATIONAL GROUP LTD,XHKG,0.63,191.6,"176,084","33,737,694","33,737,694",Consumer Discretionary,B0MP1B0
TCOM,TRIP COM GROUP ADR LTD,XNAS,0.59,291.17,"108,289","31,530,531","31,530,531",Consumer Discretionary,BK1K3N2
2319,CHINA MENGNIU DAIRY LTD,XHKG,0.56,45.2,"664,062","30,015,602","30,015,602",Consumer Staples,B01B1L9
BILI,BILIBILI AMERICAN DEPOSITARY SHARE,XNAS,0.56,864.58,"34,434","29,771,160","29,771,160",Communication,BFNLRN6
2382,SUNNY OPTICAL TECHNOLOGY LTD,XHKG,0.55,191.4,"151,885","29,070,789","29,070,789",Information Technology,B1YBT08
BEKE,KE HOLDINGS ADR REPRESENTING INC,XNYS,0.54,377.39,"76,062","28,704,905","28,704,905",Real Estate,BMBX7M2
175,GEELY AUTOMOBILE HOLDINGS LTD,XHKG,0.52,22.05,"1,256,466","27,705,075","27,705,075",Consumer Discretionary,6531827
BGNE,BEIGENE ADR REPRESENTING LTD,XNAS,0.49,"2,692.15","9,766","26,291,638","26,291,638",Health Care,BYYWPW6
1109,CHINA RESOURCES LAND LTD,XHKG,0.47,36.4,"684,521","24,916,564","24,916,564",Real Estate,6193766
6098,COUNTRY GARDEN SERVICES HOLDINGS L,XHKG,0.47,79.55,"312,923","24,893,025","24,893,025",Industrials,BDQZP48
2628,CHINA LIFE INSURANCE LTD H,XHKG,0.47,15.72,"1,583,014","24,884,980","24,884,980",Financials,6718976
2688,ENN ENERGY HOLDINGS LTD,XHKG,0.47,147.6,"168,586","24,883,294","24,883,294",Utilities,6333937
EDU,NEW ORIENTAL EDUCATION & TECHNOLOG,XNYS,0.46,74.03,"329,946","24,427,293","24,427,293",Consumer Discretionary,B1CN1G6
1093,CSPC PHARMACEUTICAL GROUP LTD,XHKG,0.45,12.46,"1,918,916","23,909,693","23,909,693",Health Care,6191997
ZTO,ZTO EXPRESS CAYMAN ADR REPRESENTIN,XNYS,0.43,245.23,"94,030","23,058,849","23,058,849",Industrials,BYYDFN0
XPEV,XPENG ADR INC,XNYS,0.42,322.05,"68,752","22,142,035","22,142,035",Consumer Discretionary,BMXR2T4
1801,INNOVENT BIOLOGICS INC,XHKG,0.41,89.95,"243,986","21,946,541","21,946,541",Health Care,BGR6KX5
LI,LI AUTO ADR INC,XNAS,0.41,218.14,"100,258","21,870,766","21,870,766",Consumer Discretionary,BMXHCD8
291,CHINA RESOURCES BEER HOLDINGS LTD,XHKG,0.41,71.3,"303,314","21,626,288","21,626,288",Consumer Staples,6972459
386,CHINA PETROLEUM AND CHEMICAL CORP,XHKG,0.4,4.23,"5,096,470","21,558,068","21,558,068",Energy,6291819
ZLAB,ZAI LABORATORY ADR REPRESENTING LT,XNAS,0.4,"1,316.39","16,238","21,375,649","21,375,649",Health Care,BD9GVY0
TAL,TAL EDUCATION GROUP ADR REPTG,XNYS,0.38,226.84,"88,297","20,028,982","20,028,982",Consumer Discretionary,B4MGD82
HKD,HKD CASH,-,0.37,100,"19,879,394","19,879,394","19,879,394",Cash and/or Derivatives,-
384,CHINA GAS HOLDINGS LTD,XHKG,0.36,29.6,"648,156","19,185,418","19,185,418",Utilities,6460794
600036,CHINA MERCHANTS BANK LTD A,XSHG,0.34,68.33,"266,945","18,239,872","18,239,872",Financials,BP3R273
858,WULIANGYE YIBIN LTD A,XSHE,0.34,365.81,"49,521","18,114,977","18,114,977",Consumer Staples,BD5CPG2
1177,SINO BIOPHARMACEUTICAL LTD,XHKG,0.34,8.3,"2,181,450","18,106,035","18,106,035",Health Care,B00XSF9
960,LONGFOR GROUP HOLDINGS LTD,XHKG,0.33,46.1,"381,427","17,583,785","17,583,785",Real Estate,B56KLY9
TME,TENCENT MUSIC ENTERTAINMENT GROUP,XNYS,0.32,120.05,"142,923","17,158,390","17,158,390",Communication,BFZYWR2
VIPS,VIPSHOP HOLDINGS SPONSORED ADS REP,XNYS,0.32,172.12,"98,859","17,016,172","17,016,172",Consumer Discretionary,B3N0H17
2333,GREAT WALL MOTOR LTD H,XHKG,0.31,24.5,"681,217","16,689,817","16,689,817",Consumer Discretionary,6718255
HTHT,HUAZHU GROUP ADR REPRESENTING LTD,XNAS,0.31,440.94,"37,826","16,679,221","16,679,221",Consumer Discretionary,BFMFKK7
688,CHINA OVERSEAS LAND INVESTMENT LTD,XHKG,0.3,19.74,"817,765","16,142,681","16,142,681",Real Estate,6192150
300750,CONTEMPORARY AMPEREX TECHNOLOGY LT,XSHE,0.3,548.25,"29,359","16,096,102","16,096,102",Industrials,BHQPSY7
857,PETROCHINA LTD H,XHKG,0.3,3.57,"4,504,494","16,081,044","16,081,044",Energy,6226576
2007,COUNTRY GARDEN HOLDINGS LTD,XHKG,0.29,9.59,"1,637,141","15,700,182","15,700,182",Real Estate,B1VKYN6
1918,SUNAC CHINA HOLDINGS LTD,XHKG,0.29,29.1,"537,285","15,634,994","15,634,994",Real Estate,B4XRPN3
1288,AGRICULTURAL BANK OF CHINA LTD H,XHKG,0.29,2.81,"5,546,755","15,586,382","15,586,382",Financials,B60LZR6
268,KINGDEE INT L SOFTWARE GROUP LTD,XHKG,0.29,28.05,"550,865","15,451,763","15,451,763",Information Technology,6327587
968,XINYI SOLAR HOLDINGS LTD,XHKG,0.29,15.06,"1,015,674","15,296,050","15,296,050",Information Technology,BGQYNN1
241,ALIBABA HEALTH INFORMATION TECH LT,XHKG,0.28,17.9,"846,322","15,149,164","15,149,164",Health Care,BRXVS60
992,LENOVO GROUP LTD,XHKG,0.27,9.13,"1,588,289","14,501,079","14,501,079",Information Technology,6218089
2899,ZIJIN MINING GROUP LTD H,XHKG,0.27,11.5,"1,259,365","14,482,698","14,482,698",Materials,6725299
2601,CHINA PACIFIC INSURANCE (GROUP) LT,XHKG,0.27,25.4,"559,761","14,217,929","14,217,929",Financials,B2Q5H56
6186,CHINA FEIHE LTD,XHKG,0.27,19.4,"732,621","14,212,847","14,212,847",Consumer Staples,BK0SBL1
1088,CHINA SHENHUA ENERGY LTD H,XHKG,0.25,17.66,"755,792","13,347,287","13,347,287",Energy,B09N7M0
6690,HAIER SMART HOME CLASS H LTD H,XHKG,0.24,30,"433,757","13,012,710","13,012,710",Consumer Discretionary,BLD4QD0
586,CHINA CONCH VENTURE HOLDINGS LTD,XHKG,0.23,34.05,"361,158","12,297,430","12,297,430",Industrials,BH7HM06
2359,WUXI APPTEC LTD H,XHKG,0.23,170.7,"71,828","12,261,040","12,261,040",Health Care,BGHH0L6
601318,PING AN INSURANCE (GROUP) OF CHINA,XSHG,0.23,84.18,"144,074","12,128,450","12,128,450",Financials,BP3R284
914,ANHUI CONCH CEMENT LTD H,XHKG,0.22,42.95,"274,674","11,797,248","11,797,248",Materials,6080396
1024,KUAISHOU TECHNOLOGY,XHKG,0.22,208.8,"56,460","11,788,848","11,788,848",Communication,BLC90T0
GDS,GDS HOLDINGS LIMITED ADR REPRESENT,XNAS,0.22,618.27,"18,917","11,695,834","11,695,834",Information Technology,BD6FLL7
6969,SMOORE INTERNATIONAL HOLDINGS LTD,XHKG,0.21,46.85,"243,174","11,392,702","11,392,702",Consumer Staples,BKWGSQ7
267,CITIC LTD,XHKG,0.21,8.79,"1,282,075","11,269,439","11,269,439",Industrials,6196152
2328,PICC PROPERTY AND CASUALTY LTD H,XHKG,0.21,7.47,"1,475,870","11,024,749","11,024,749",Financials,6706250
3888,KINGSOFT CORP LTD,XHKG,0.2,53.3,"203,378","10,840,047","10,840,047",Information Technology,B27WRM3
1919,COSCO SHIPPING HOLDINGS LTD H,XHKG,0.2,19.16,"549,420","10,526,887","10,526,887",Industrials,B0B8Z18
1193,CHINA RESOURCES GAS GROUP LTD,XHKG,0.2,50.55,"206,063","10,416,485","10,416,485",Utilities,6535517
168,TSINGTAO BREWERY LTD H,XHKG,0.19,87.45,"117,145","10,244,330","10,244,330",Consumer Staples,6905808
6030,CITIC SECURITIES COMPANY LTD H,XHKG,0.19,20.3,"489,442","9,935,673","9,935,673",Financials,B6SPB49
1066,SHANDONG WEIGAO GROUP MEDICAL POLY,XHKG,0.19,17.8,"553,616","9,854,365","9,854,365",Health Care,6742340
601888,CHINA TOURISM GROUP DUTY FREE CORP,XSHG,0.18,377.24,"25,947","9,788,311","9,788,311",Consumer Discretionary,BP3R466
3328,BANK OF COMMUNICATIONS LTD H,XHKG,0.18,5.22,"1,857,789","9,697,659","9,697,659",Financials,B0B8Z29
2202,CHINA VANKE LTD H,XHKG,0.18,25.35,"377,464","9,568,712","9,568,712",Real Estate,BN320P8
788,CHINA TOWER CORP LTD H,XHKG,0.18,1.07,"8,829,595","9,447,667","9,447,667",Communication,BFZ2PK0
916,CHINA LONGYUAN POWER GROUP CORP LT,XHKG,0.17,12.58,"729,994","9,183,325","9,183,325",Utilities,B4Q2TX3
1658,POSTAL SAVINGS BANK OF CHINA LTD H,XHKG,0.17,5.39,"1,686,539","9,090,445","9,090,445",Financials,BD8GL18
2018,AAC TECHNOLOGIES HOLDINGS INC,XHKG,0.17,54.95,"162,656","8,937,947","8,937,947",Information Technology,B85LKS1
6862,HAIDILAO INTERNATIONAL HOLDING LTD,XHKG,0.17,39.8,"222,659","8,861,828","8,861,828",Consumer Discretionary,BGN9715
300760,SHENZHEN MINDRAY BIO-MEDICAL ELECT,XSHE,0.16,570.11,"15,341","8,746,046","8,746,046",Health Care,BHQK864
853,MICROPORT SCIENTIFIC CORP,XHKG,0.16,66.9,"130,524","8,732,056","8,732,056",Health Care,B676TW7
1833,PING AN HEALTHCARE AND TECHNOLOGY,XHKG,0.16,89.2,"97,411","8,689,061","8,689,061",Health Care,BDRYVB3
3692,HANSOH PHARMACEUTICAL GROUP LTD,XHKG,0.16,33.25,"260,000","8,645,000","8,645,000",Health Care,BJYKB72
CNH,CNH CASH,-,0.16,121.3,"6,864,443","8,326,558","8,326,558",Cash and/or Derivatives,-
4,WHARF (HOLDINGS) LTD,XHKG,0.15,28.45,"288,525","8,208,536","8,208,536",Real Estate,6435576
881,ZHONGSHENG GROUP HOLDINGS LTD,XHKG,0.15,63.05,"128,275","8,087,739","8,087,739",Consumer Discretionary,B633D97
3323,CHINA NATIONAL BUILDING MATERIAL L,XHKG,0.15,9.9,"814,020","8,058,798","8,058,798",Materials,B0Y91C1
ATHM,AUTOHOME ADS REPRESENTING INC CLA,XNYS,0.15,537.48,"14,667","7,883,297","7,883,297",Communication,BH5QGR0
998,CHINA CITIC BANK CORP LTD H,XHKG,0.15,4.16,"1,870,133","7,779,753","7,779,753",Financials,B1W0JF2
603288,FOSHAN HAI TIAN FLAVOURING & FOOD,XSHG,0.15,163.37,"47,376","7,739,657","7,739,657",Consumer Staples,BTFRHX0
1548,GENSCRIPT BIOTECH CORP,XHKG,0.14,32.6,"230,754","7,522,580","7,522,580",Health Care,BD9Q2J2
600276,JIANGSU HENGRUI MEDICINE LTD A,XSHG,0.14,88.5,"84,664","7,492,795","7,492,795",Health Care,BP3R369
1044,HENGAN INTERNATIONAL GROUP LTD,XHKG,0.14,52.9,"140,950","7,456,255","7,456,255",Consumer Staples,6136233
270,GUANGDONG INVESTMENT LTD,XHKG,0.14,11.54,"643,897","7,430,571","7,430,571",Utilities,6913168
3606,FUYAO GLASS INDUSTRY GROUP LTD H,XHKG,0.14,52.9,"140,446","7,429,593","7,429,593",Consumer Discretionary,BWGCFG4
772,CHINA LITERATURE LTD,XHKG,0.14,87,"85,142","7,407,354","7,407,354",Communication,BYP71J9
600900,CHINA YANGTZE POWER LTD A,XSHG,0.14,25.1,"294,434","7,389,392","7,389,392",Utilities,BP3R2M8
285,BYD ELECTRONIC (INTERNATIONAL) LTD,XHKG,0.14,49.25,"149,742","7,374,794","7,374,794",Information Technology,B29SHS5
1099,SINOPHARM GROUP LTD H,XHKG,0.14,26,"281,953","7,330,778","7,330,778",Health Care,B3ZVDV0
2338,WEICHAI POWER LTD H,XHKG,0.14,17.02,"430,238","7,322,651","7,322,651",Industrials,6743956
1,PING AN BANK LTD A,XSHE,0.14,28.35,"257,649","7,303,775","7,303,775",Financials,BD5CPS4
601166,INDUSTRIAL BANK LTD A,XSHG,0.14,26.15,"277,664","7,261,537","7,261,537",Financials,BP3R295
YY,JOYY ADR INC,XNAS,0.14,565.73,"12,741","7,208,006","7,208,006",Communication,BL3N3C5
IQ,IQIYI ADS REPRESENTING INC,XNAS,0.13,112.84,"61,871","6,981,290","6,981,290",Communication,BYWT1W1
USD,USD CASH,-,0.13,776.04,"893,750","6,935,858","6,935,858",Cash and/or Derivatives,-
6618,JD HEALTH INTERNATIONAL INC,XHKG,0.13,108.2,"63,743","6,896,993","6,896,993",Consumer Discretionary,BMW8R04
601012,LONGI GREEN ENERGY TECHNOLOGY LTD,XSHG,0.13,132.82,"51,871","6,889,679","6,889,679",Information Technology,BRTL411
656,FOSUN INTERNATIONAL LTD,XHKG,0.13,11.82,"568,789","6,723,086","6,723,086",Industrials,B1Z7FX0
600809,SHANXI XINGHUACUN FEN WINE FACTORY,XSHG,0.12,570.41,"11,667","6,655,003","6,655,003",Consumer Staples,BP3R820
151,WANT WANT CHINA HOLDINGS LTD,XHKG,0.12,5.92,"1,100,289","6,513,711","6,513,711",Consumer Staples,B2Q14Z3
2594,BYD LTD A,XSHE,0.12,275.38,"23,525","6,478,195","6,478,195",Consumer Discretionary,BD5CQ69
2196,SHANGHAI FOSUN PHARMACEUTICAL (GRO,XHKG,0.12,61.35,"105,557","6,475,922","6,475,922",Health Care,B8XBQ96
322,TINGYI (CAYMAN ISLANDS) HOLDINGS C,XHKG,0.12,14.82,"433,188","6,419,846","6,419,846",Consumer Staples,6903556
148,KINGBOARD HOLDINGS LTD,XHKG,0.12,43,"148,041","6,365,763","6,365,763",Information Technology,6491318
3908,CHINA INTERNATIONAL CAPITAL CORP L,XHKG,0.12,21.5,"290,767","6,251,491","6,251,491",Financials,BZ169C6
DQ,DAQO NEW ENERGY ADR REPRESENTING,XNYS,0.12,533.06,"11,715","6,244,820","6,244,820",Information Technology,B953PM3
867,CHINA MEDICAL SYSTEM HOLDINGS LTD,XHKG,0.12,21.85,"285,521","6,238,634","6,238,634",Health Care,B6WY993
300015,AIER EYE HOSPITAL GROUP LTD A,XSHE,0.12,104.18,"59,469","6,195,744","6,195,744",Health Care,BD5CLQ4
600309,WANHUA CHEMICAL GROUP LTD A,XSHG,0.12,139.25,"44,377","6,179,596","6,179,596",Materials,BP3R3S1
2013,WEIMOB INC,XHKG,0.11,17.42,"350,855","6,111,894","6,111,894",Information Technology,BGHWHF4
568,LUZHOU LAO JIAO LTD A,XSHE,0.11,313.26,"19,463","6,096,918","6,096,918",Consumer Staples,BD5CMM7
6185,CANSINO BIOLOGICS INC H,XHKG,0.11,369.8,"16,352","6,046,970","6,046,970",Health Care,BJKDJS2
1579,YIHAI INTERNATIONAL HOLDING LTD,XHKG,0.11,54.3,"107,889","5,858,373","5,858,373",Consumer Staples,BD9GZX7
603259,WUXI APPTEC LTD A,XSHG,0.11,177.12,"33,067","5,856,894","5,856,894",Health Care,BHWLWV4
135,KUNLUN ENERGY LTD,XHKG,0.11,6.94,"843,195","5,851,773","5,851,773",Utilities,6340078
813,SHIMAO GROUP HOLDINGS LTD,XHKG,0.11,21.4,"271,563","5,811,448","5,811,448",Real Estate,B16YNS1
425,MINTH GROUP LTD,XHKG,0.11,33.95,"165,938","5,633,595","5,633,595",Consumer Discretionary,B0RJCG9
QFIN,360 DIGITECH ADR INC,XNAS,0.11,313.13,"17,903","5,606,005","5,606,005",Financials,BFMV9Y2
1378,CHINA HONGQIAO GROUP LTD,XHKG,0.1,11.4,"483,503","5,511,934","5,511,934",Materials,B44ZV94
1951,JINXIN FERTILITY GROUP LTD,XHKG,0.1,18.14,"295,450","5,359,463","5,359,463",Health Care,BJ9JY53
2304,JIANGSU YANGHE BREWERY JOINT-STOCK,XSHE,0.1,256.28,"20,802","5,331,185","5,331,185",Consumer Staples,BD5CPF1
3759,PHARMARON BEIJING LTD H,XHKG,0.1,188,"28,230","5,307,240","5,307,240",Health Care,BK72QD3
1339,THE PEOPLES INSURANCE CO (GROUP),XHKG,0.1,2.87,"1,840,362","5,281,839","5,281,839",Financials,B8RZJZ1
2714,MUYUAN FOODS LTD A,XSHE,0.1,76.18,"69,255","5,275,590","5,275,590",Consumer Staples,BD5CJX7
300122,CHONGQING ZHIFEI BIOLOGICAL PRODUC,XSHE,0.1,234.47,"22,342","5,238,587","5,238,587",Health Care,BD5CJY8
2352,S.F. HOLDING LTD A,XSHE,0.1,86.16,"60,469","5,209,965","5,209,965",Industrials,BD73M39
601398,INDUSTRIAL AND COMMERCIAL BANK OF,XSHG,0.1,6.3,"822,072","5,175,323","5,175,323",Financials,BP3R217
1988,CHINA MINSHENG BANKING CORP LTD H,XHKG,0.09,4.06,"1,243,378","5,048,115","5,048,115",Financials,B57JY24
754,HOPSON DEVELOPMENT HOLDINGS LTD,XHKG,0.09,34.4,"145,701","5,012,114","5,012,114",Real Estate,BMXJW56
300059,EAST MONEY INFORMATION LTD A,XSHE,0.09,38.05,"131,713","5,011,912","5,011,912",Financials,BD5CPC8
1336,NEW CHINA LIFE INSURANCE COMPANY L,XHKG,0.09,27.7,"177,510","4,917,027","4,917,027",Financials,B5730Z1
WB,WEIBO ADR REPRESENTING CORP,XNAS,0.09,377.85,"13,001","4,912,478","4,912,478",Communication,BLLJ4H7
1268,CHINA MEIDONG AUTO HOLDINGS LTD,XHKG,0.09,39.6,"123,440","4,888,224","4,888,224",Consumer Discretionary,BH0VXF7
2475,LUXSHARE PRECISION INDUSTRY LTD A,XSHE,0.09,47.31,"103,140","4,879,238","4,879,238",Information Technology,BD5CN80
489,DONGFENG MOTOR GROUP LTD H,XHKG,0.09,7.57,"640,472","4,848,373","4,848,373",Consumer Discretionary,B0PH5N3
3333,CHINA EVERGRANDE GROUP,XHKG,0.09,11.22,"420,566","4,718,751","4,718,751",Real Estate,BD3DS68
966,CHINA TAIPING INSURANCE HLDGS LTD,XHKG,0.09,13.64,"345,216","4,708,746","4,708,746",Financials,6264048
8083,CHINA YOUZAN LTD,XHKG,0.09,1.52,"3,055,670","4,644,618","4,644,618",Information Technology,BMVHXD7
600000,SHANGHAI PUDONG DEVELOPMENT BANK L,XSHG,0.09,12.34,"376,418","4,643,565","4,643,565",Financials,BP3R2B7
3898,ZHUZHOU CRRC TIMES ELECTRIC LTD H,XHKG,0.09,38.05,"121,751","4,632,626","4,632,626",Industrials,B1L3XL6
2128,CHINA LESSO GROUP HOLDINGS LTD,XHKG,0.09,19.76,"229,128","4,527,569","4,527,569",Industrials,BCDBKF8
1114,BRILLIANCE CHINA AUTOMOTIVE HOLDIN,XHKG,0.08,7.3,"612,311","4,469,870","4,469,870",Consumer Discretionary,6181482
3319,A-LIVING SERVICES LTD H,XHKG,0.08,36.4,"122,555","4,461,002","4,461,002",Industrials,BFWK4M2
358,JIANGXI COPPER LTD H,XHKG,0.08,16.92,"263,082","4,451,347","4,451,347",Materials,6000305
2,CHINA VANKE LTD A,XSHE,0.08,30.68,"144,849","4,443,494","4,443,494",Real Estate,BD5CPW8
2238,GUANGZHOU AUTOMOBILE GROUP LTD H,XHKG,0.08,7.04,"630,071","4,435,700","4,435,700",Consumer Discretionary,B433995
884,CIFI HOLDINGS (GROUP) LTD,XHKG,0.08,6.74,"657,653","4,432,581","4,432,581",Real Estate,B8Z00N3
600030,CITIC SECURITIES LTD A,XSHG,0.08,30.25,"146,489","4,431,612","4,431,612",Financials,BP3R2J5
3347,HANGZHOU TIGERMED CONSULTING LTD H,XHKG,0.08,162.6,"27,218","4,425,647","4,425,647",Health Care,BMZC7F8
6060,ZHONGAN ONLINE P & C INSURANCE COR,XHKG,0.08,41.6,"106,015","4,410,224","4,410,224",Financials,BYZQ099
1313,CHINA RESOURCES CEMENT HOLDINGS LT,XHKG,0.08,7.86,"549,880","4,322,057","4,322,057",Materials,B41XC98
2869,GREENTOWN SERVICE GROUP LTD,XHKG,0.08,12.84,"336,598","4,321,918","4,321,918",Industrials,BD20C13
2600,ALUMINUM CORPORATION OF CHINA CORP,XHKG,0.08,4.5,"959,083","4,315,874","4,315,874",Materials,6425395
1347,HUA HONG SEMICONDUCTOR LTD,XHKG,0.08,40.1,"106,126","4,255,653","4,255,653",Information Technology,BRB3857
333,MIDEA GROUP LTD A,XSHE,0.08,89.76,"47,008","4,219,527","4,219,527",Consumer Discretionary,BD5CPP1
600436,ZHANGZHOU PIENTZEHUANG PHARMACEUTI,XSHG,0.08,490.53,"8,598","4,217,529","4,217,529",Health Care,BP3R7Z6
9922,JIUMAOJIU INTERNATIONAL HOLDINGS L,XHKG,0.08,28.6,"146,390","4,186,754","4,186,754",Consumer Discretionary,BLBFH65
836,CHINA RESOURCES POWER LTD,XHKG,0.08,10.28,"404,705","4,160,367","4,160,367",Utilities,6711566
2689,NINE DRAGONS PAPER HOLDINGS LTD,XHKG,0.08,11,"377,015","4,147,165","4,147,165",Materials,B0WC2B8
601816,BEIJING-SHANGHAI HIGH SPEED RAILWA,XSHG,0.08,7.02,"590,460","4,146,955","4,146,955",Industrials,BL58M76
601288,AGRICULTURAL BANK OF CHINA LTD A,XSHG,0.08,4.03,"1,014,786","4,086,700","4,086,700",Financials,BP3R228
257,CHINA EVERBRIGHT ENVIRONMENT GROUP,XHKG,0.08,4.58,"886,312","4,059,309","4,059,309",Industrials,6630940
780,TONGCHENG-ELONG HOLDINGS LTD,XHKG,0.08,20.45,"198,145","4,052,065","4,052,065",Consumer Discretionary,BGM5R25
6837,HAITONG SECURITIES COMPANY LTD H,XHKG,0.08,7.08,"568,809","4,027,168","4,027,168",Financials,B71SXC4
1882,HAITIAN INTERNATIONAL LTD,XHKG,0.08,26.45,"151,777","4,014,502","4,014,502",Industrials,B1L2RC2
MOMO,MOMO ADR REPRESENTING INC,XNAS,0.08,122.46,"32,679","4,001,841","4,001,841",Communication,BSS6HX7
3380,LOGAN GROUP COMPANY LTD,XHKG,0.07,12.42,"321,393","3,991,701","3,991,701",Real Estate,BH6X937
2142,BANK OF NINGBO LTD A,XSHE,0.07,48.9,"81,437","3,981,941","3,981,941",Financials,BD5CP06
6886,HUATAI SECURITIES LTD H,XHKG,0.07,11.38,"349,232","3,974,260","3,974,260",Financials,BWVFT00
1772,GANFENG LITHIUM LTD H,XHKG,0.07,111.6,"35,008","3,906,893","3,906,893",Materials,BZ9NS11
600031,SANY HEAVY INDUSTRY LTD A,XSHG,0.07,34.32,"113,049","3,879,358","3,879,358",Industrials,BP3R3H0
817,CHINA JINMAO HOLDINGS GROUP LTD,XHKG,0.07,2.9,"1,325,203","3,843,089","3,843,089",Real Estate,B23TGR6
BZUN,BAOZUN ADR REPRESENTING INC,XNAS,0.07,287.52,"13,353","3,839,292","3,839,292",Consumer Discretionary,BY2ZJ69
3993,CHINA MOLYBDENUM LTD H,XHKG,0.07,4.86,"789,240","3,835,706","3,835,706",Materials,B1VRCG6
1585,YADEA GROUP HOLDINGS LTD,XHKG,0.07,16.48,"232,699","3,834,880","3,834,880",Consumer Discretionary,BZ04KX9
9926,AKESO INC,XHKG,0.07,65.1,"58,684","3,820,328","3,820,328",Health Care,BLFJ7Y1
603501,WILL SEMICONDUCTOR SHANGHAI LTD A,XSHG,0.07,351.13,"10,859","3,812,884","3,812,884",Information Technology,BK947V2
HCM,HUTCHMED CHINA ADR LTD,XNAS,0.07,237.08,"16,020","3,798,025","3,798,025",Health Care,BYXV9H7
136,HENGTEN NETWORKS GROUP LTD,XHKG,0.07,6.55,"574,708","3,764,337","3,764,337",Consumer Discretionary,BMDMJ87
IMAB,I MAB ADR,XNAS,0.07,557.35,"6,739","3,755,995","3,755,995",Health Care,BKRRKY7
1171,YANZHOU COAL MINING LTD H,XHKG,0.07,11.66,"319,272","3,722,712","3,722,712",Energy,6109893
1816,CGN POWER LTD H,XHKG,0.07,1.72,"2,163,239","3,720,771","3,720,771",Utilities,BSBMM04
JOBS,51JOB ADR REPRESENTING INC,XNAS,0.07,574.73,"6,446","3,704,743","3,704,743",Industrials,B02TT74
TIGR,UP FINTECH HOLDING ADR LTD,XNAS,0.07,221.64,"16,660","3,692,473","3,692,473",Financials,BJTL675
9633,NONGFU SPRING LTD H,XHKG,0.07,43.05,"85,770","3,692,399","3,692,399",Consumer Staples,BMGWW30
LU,LUFAX HLDG AMERICAN DEPOSITARY SH,XNYS,0.07,94.75,"38,920","3,687,845","3,687,845",Financials,BNDK6G5
601919,COSCO SHIPPING HOLDINGS LTD A,XSHG,0.07,31.39,"116,492","3,656,963","3,656,963",Industrials,BP3R552
570,CHINA TRADITIONAL CHI MEDICINE CO,XHKG,0.07,5.21,"698,359","3,638,450","3,638,450",Health Care,6971779
